userids,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SS,IS,RIS,ABC,RBC,ACC,country,nsi
1517354820348219392,40843,572015,23,47,4.087,0.0929,0.5909089999999999,0.0127112914131169,0.0950958204229114,0.0026281259896119,0.984998499849985,0.9113,0.8789013732833958,us,0.45
22645330,30558,491022,29,46,3.1724,0.0567,0.3214289999999999,0.0074374577417173,0.0202364185599254,4.57027579352192e-05,0.955895589558956,0.6098,0.8739076154806492,us,0.36
250914471,54349,893100,47,125,5.3191,0.0578,0.7391300000000001,0.0075726842461122,0.053482657134809,0.0008592094988217,0.9681968196819682,0.6461,0.8514357053682896,us,0.42
1232713584423165952,14745,345257,12,41,6.8333,0.3106,1.0,0.0580121703853955,0.0319155342729206,8.724537796633256e-05,0.8157815781578157,0.5606,0.7265917602996255,uk,0.44
1138934632114733056,64974,1092697,45,215,9.5556,0.1086,0.863636,0.0200135226504394,0.0200246714520217,0.0038193356464248,0.9477947794779478,0.6887,0.7977528089887641,us,0.43
2671412090,11233,186780,7,15,4.2857,0.3571,0.833333,0.018526031102096,0.0,0.0,0.8712871287128713,0.7,0.6953807740324593,us,0.43
727508873037250561,12800,261183,11,49,8.9091,0.4455,0.8,0.0736984448951994,0.0129515409944343,0.0,0.9000900090009001,0.7908999999999999,0.8963795255930087,au,0.49
1454540175409876998,33231,410640,23,75,6.5217,0.1482,0.636364,0.0163624070317782,0.1440890503433605,0.0075425180489757,0.8814881488148815,0.3474,0.8102372034956304,us,0.37
1062824383,86539,911333,64,385,12.0312,0.0955,0.873016,0.0148749154834347,0.12345050654182,0.0014925258598108,0.9270927092709272,0.7108,0.982521847690387,au,0.47
311466681,97840,1510544,140,1939,27.7,0.0996,0.964029,0.0306964164976335,0.0340640874962361,0.0008572822032955,0.9744974497449744,0.5414,0.8551810237203495,uk,0.44
892289795371581440,9575,82917,7,12,3.4286,0.2857,0.333333,0.0118999323867478,0.0203976571833749,0.0,0.7428742874287428,0.4,0.9151061173533084,us,0.34
948910812172902400,37042,594202,50,580,23.2,0.2367,0.959184,0.0396213657876943,0.0264373063436713,0.0024414368632146,0.945994599459946,0.6542,0.8439450686641699,us,0.46
1488774328070152192,21958,326153,14,20,2.8571,0.1099,0.384615,0.0021636240703177,0.0472701135469583,0.0002002154504865,0.9492949294929492,0.7692,0.8289637952559301,us,0.39
1107909391183958017,133937,2634079,150,654,8.72,0.0293,0.85906,0.0078431372549019,0.0370168912027818,0.001335369011812,0.96999699969997,0.3959,0.6766541822721599,au,0.37
1454974019011178496,70777,1566559,86,372,8.6512,0.0509,0.870588,0.0202839756592292,0.0308198886870708,0.0004494594188712,0.9633963396339634,0.5564,0.6591760299625469,au,0.39
1522595767038496773,39149,949929,20,47,4.7,0.1237,0.473684,0.0132521974306964,0.0182937845424611,0.0003743183969536,0.9828982898289828,0.8947,0.8439450686641699,uk,0.42
8779932,103411,2136705,57,147,5.1579,0.0461,0.571429,0.0118999323867478,0.0509397492059483,0.0001079638048729,0.966096609660966,0.3739,0.965043695380774,au,0.37
1260183374552920065,139892,1639105,112,486,8.6786,0.0391,0.801802,0.0087897227856659,0.0423416510446514,0.0002924670961002,0.9882988298829884,0.642,0.9238451935081148,au,0.43
1187120860383105026,9537,92056,7,39,11.1429,0.9286,1.0,0.0569303583502366,0.1750138412673744,0.0002062793803129,0.9570957095709572,0.9767,0.9363295880149812,us,0.63
1149127377412222976,53394,459440,48,196,8.1667,0.0869,0.787234,0.015551048005409,0.0262857808903091,0.0009886791013345,0.946894689468947,0.2794999999999999,0.9076154806491884,us,0.38
1283063678263332864,132659,1551468,88,224,5.0909,0.0293,0.724138,0.0050033806626098,0.037984322943479,0.0006101183038628,0.9717971797179716,0.5869,0.6891385767790262,us,0.38
1087657432648536064,231702,2987320,181,543,6.0,0.0167,0.655556,0.0173089925625422,0.0566316668771186,6.904183668537229e-05,0.9873987398739874,0.2539,0.9912609238451936,au,0.37
68018708,448543,5477709,188,2453,26.0957,0.0698,0.914439,0.0162271805273833,0.0402863442541742,0.0013644077145268,0.9903990399039904,0.5345,0.968789013732834,au,0.44
1485043855,49280,678699,25,101,8.08,0.1683,0.916667,0.0319134550371872,0.0541917185511835,0.0013531024810134,0.9435943594359436,0.8342,0.8214731585518102,us,0.47
1183431240365547520,139041,2566729,81,267,6.5926,0.0412,0.7625,0.0113590263691683,0.0397035540489349,0.0004043207474315,0.9810981098109812,0.905,0.9275905118601748,uk,0.46
1486020686372122627,97910,1490568,80,464,11.6,0.0734,0.886076,0.0296146044624746,0.0233640593280428,0.0011256228499123,0.966096609660966,0.8023,0.99250936329588,us,0.47
1443549821256691714,64119,778095,33,105,6.3636,0.0994,0.71875,0.0068965517241379,0.0833428846172525,0.000498805235423,0.955895589558956,0.6756,0.8576779026217228,us,0.42
1474830032,271121,3456047,204,1604,15.7255,0.0387,0.8867,0.0108181203515889,0.052804677862714,0.0017550728680471,0.9810981098109812,0.7214,0.8876404494382023,au,0.45
3906303503,4086,49794,6,6,2.0,0.2,0.0,0.0039215686274509,0.0262255592357677,0.0,0.9000900090009001,0.8,0.815230961298377,uk,0.34
1523385112225890304,18275,365710,11,27,4.9091,0.2455,0.8,0.0300202839756592,0.0254970714792186,0.0009107646541474,0.9363936393639364,0.8074,0.9750312109862672,uk,0.48
1312699857535029249,285096,3584444,281,2446,17.4093,0.0311,0.917857,0.0181203515889114,0.0337765776616514,0.3268176133140771,0.9765976597659766,0.6476999999999999,0.9812734082397004,au,0.49
1296903899815636992,70064,583006,49,193,7.8776,0.0821,0.875,0.0167680865449628,0.1956640408730197,0.0299069023421611,0.9882988298829884,0.944,0.9837702871410736,au,0.51
843454574849490944,69555,1060517,27,45,3.3333,0.0641,0.6538459999999999,0.0029749830966869,0.0274125086204384,0.0,0.9942994299429944,0.9746,0.9712858926342072,au,0.46
636487436,98388,1055006,59,184,6.2373,0.0538,0.775862,0.0089249492900608,0.0733480325973988,0.0019606118848347,0.9411941194119412,0.4006999999999999,0.533083645443196,us,0.35
1384600941672861702,16948,362779,19,71,7.4737,0.2076,0.888889,0.0283975659229208,0.0106844870960535,0.0,0.8679867986798679,0.7021,0.7815230961298377,uk,0.44
