userids,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SS,IS,RIS,ABC,RBC,ACC,country,type,alpha-6,alpha-8
1069731431725850625,94864,1268526,130,466,7.1692,0.0278,0.682171,0.014198782961460446,0.018008217341893874,0.0,0.990999099909991,0.947,0.9700374531835206,uk,urban,0.6,0.46
1453179475504500740,248546,4364273,107,304,5.6822,0.0268,0.783019,0.0029749830966869506,0.5400813963653317,0.7186618603833511,0.9927992799279928,0.9585,0.9837702871410736,au,au,0.71,0.63
18742857,79465,986350,120,242,4.0333,0.0169,0.546218,0.004056795131845842,0.026175050751313704,0.00041027891103995184,0.9882988298829883,0.6248,0.9013732833957553,au,au,0.52,0.39
1968250436,1021,13502,3,3,2.0,0.5,0.0,0.022582826233941852,0.0,0.0,0.49984998499849986,0.5,1.0,au,au,0.34,0.32
32652223,21394,306111,18,20,2.2222,0.0654,0.11764700000000006,0.004597701149425286,0.01068448709605354,0.0,0.9804980498049805,0.8824,0.8789013732833958,us,urban,0.48,0.37
49608459,125815,2666298,80,122,3.05,0.0193,0.46835400000000005,0.0017579445571331979,0.02893553369013045,0.00017168207525729425,0.9951995199519952,0.874,0.9588014981273408,au,au,0.55,0.42
1508392851306160134,85898,800832,82,288,7.0244,0.0434,0.7407410000000001,0.008654496281271129,0.03231183161248336,0.0014787644996817786,0.9231923192319231,0.6152,0.9575530586766542,us,rural,0.55,0.42
550766541,117379,1708721,175,3911,44.6971,0.1284,0.931034,0.0398918187964841,0.023519470049440036,0.0024600987247731855,0.9834983498349835,0.7061999999999999,0.9463171036204744,us,urban,0.61,0.47
1229141412333137920,271549,2810178,156,804,10.3077,0.0333,0.851613,0.008654496281271129,0.06034986838654531,0.0076044853008637005,0.9651965196519652,0.5033000000000001,0.7203495630461922,us,urban,0.52,0.39
1490743873420738560,11814,109727,6,6,2.0,0.2,0.0,0.022041920216362403,0.0,0.0,0.9000900090009001,0.8,0.815230961298377,us,urban,0.42,0.34
1301149711328571392,96420,1282284,48,109,4.5417,0.0483,0.595745,0.004462474645030426,0.335308344584422,0.001522481203080857,0.9738973897389739,0.6933,0.8539325842696629,uk,rural,0.58,0.44
1074680060219662336,128429,1827949,125,945,15.12,0.061,0.774194,0.010006761325219743,0.03435742523287325,0.004356005187856491,0.9831983198319832,0.6521,0.8701622971285893,us,rural,0.55,0.42
1515839297965936644,4184,50820,11,26,4.7273,0.2364,0.7,0.025963488843813384,0.012821384515264248,0.000658100911383974,0.8484848484848485,0.5722,0.8377028714107366,us,rural,0.5,0.4
804477129954050048,65677,654170,55,349,12.6909,0.1175,0.907407,0.019878296146044624,0.044529056948316215,0.0005705969937738835,0.9522952295229523,0.47009999999999996,0.8639200998751561,us,urban,0.54,0.42
1321469587985063936,42192,896870,49,334,13.6327,0.142,0.9375,0.05003380662609871,0.027521296125416452,0.003078972121117879,0.9363936393639364,0.6164000000000001,0.8564294631710362,us,urban,0.57,0.45
1394643735548506115,112073,1882471,134,2046,30.5373,0.1148,0.962406,0.03786342123056119,0.031239497634843086,0.002926069425439006,0.9774977497749775,0.505,0.9288389513108615,uk,rural,0.57,0.45
1481409512812732418,7947,55426,5,16,6.4,0.8,1.0,0.06112237998647734,0.02025973016813497,0.0013122884727056114,0.7998799879987999,0.8333,1.0,us,urban,0.62,0.56
1438624261174972421,107544,910990,80,354,8.85,0.056,0.886076,0.014739688979039892,0.03283245752916379,0.005306385166508873,0.9228922892289229,0.644,0.714107365792759,us,urban,0.54,0.41
3025365108,127775,2198427,103,748,14.5243,0.0712,0.921569,0.025152129817444215,0.034161219197109356,0.00042795362123140715,0.978097809780978,0.8125,0.7615480649188515,au,au,0.59,0.45
17304348,96726,1778349,41,119,5.8049,0.0726,0.875,0.006220419202163624,0.03808922518042213,0.0003826151691578469,0.9801980198019802,0.9035,0.9101123595505618,au,au,0.62,0.47
1291222231998234626,26843,273375,24,117,9.75,0.212,0.869565,0.03434753211629479,0.03209619923654483,0.00017151755002944825,0.9078907890789079,0.4958,0.9001248439450686,us,urban,0.54,0.43
1199166093681733637,146795,1353992,98,834,17.0204,0.0877,0.876289,0.01933739012846518,0.04919137859023049,0.003396270774820866,0.9810981098109811,0.49529999999999996,0.9800249687890137,uk,urban,0.57,0.44
402882640,56978,937860,37,123,6.6486,0.0923,0.833333,0.02055442866801893,0.05922702592445096,0.04884832751820874,0.9702970297029703,0.8687,0.920099875156055,au,au,0.61,0.48
2927202776,38729,453801,20,33,3.3,0.0868,0.578947,0.010412440838404327,0.0277796664497392,4.9698370611479044e-05,0.9612961296129613,0.7456,0.8751560549313359,us,rural,0.53,0.41
501791303,22668,378446,18,37,4.1111,0.1209,0.5882350000000001,0.011223799864773495,0.04014841723893427,6.693826412934137e-05,0.9477947794779478,0.7463,0.7952559300873907,us,rural,0.52,0.41
34216035,674423,10733745,430,5284,24.5767,0.0286,0.948718,0.014874915483434751,0.033922275212961255,0.0018666797315366646,0.9873987398739874,0.6506000000000001,0.8127340823970037,au,au,0.57,0.43
1434017930866565123,1832,33949,2,1,1.0,0.5,0.0,0.0,0.0058279020523928395,0.0,1.0,1.0,1.0,us,rural,0.5,0.44
1149828791373651973,112693,952570,113,362,6.4071,0.0286,0.651786,0.0070317782285327915,0.034897477489728324,0.0004247923864963663,0.9654965496549655,0.3661,0.5667915106117354,us,urban,0.43,0.33
3942170594,118020,2115389,102,571,11.1961,0.0554,0.811881,0.010412440838404327,0.07166959680630967,0.0006007991248856123,0.9756975697569757,0.5383,0.7952559300873907,au,au,0.53,0.41
1404747212953845765,16749,178286,17,44,5.1765,0.1618,0.8125,0.010818120351588911,0.11461540703039251,0.0021936736218805767,0.8904890489048904,0.5417000000000001,0.784019975031211,us,urban,0.53,0.41
1150606219255537664,1686,10552,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,us,urban,0.5,0.38
3686849834,247366,3699196,160,513,6.4125,0.0202,0.767296,0.00581473968897904,0.05489495206550562,0.0009301198720233464,0.975997599759976,0.7612,0.8439450686641699,au,au,0.57,0.43
1397602746,123721,1877847,95,174,3.6632,0.0195,0.595745,0.005949966193373901,0.023873029440618535,0.00010971482336929967,0.9978997899789979,0.9482,0.9625468164794008,us,urban,0.59,0.44
1218131375934574593,295154,4455681,161,1494,18.559,0.058,0.94375,0.00973630831643002,0.06088797800938292,0.005703126001657497,0.9750975097509751,0.6457999999999999,0.8227215980024969,uk,urban,0.58,0.44
1555337351521415168,68129,1353332,50,141,5.64,0.0576,0.795918,0.008248816768086545,0.02947752858100298,0.0005134597325033678,0.9648964896489649,0.6584,0.7890137328339576,au,au,0.54,0.41
1526191844564008960,65600,1041445,56,716,25.5714,0.2325,1.0,0.05436105476673428,0.028168193253232054,0.00591206128921992,0.933993399339934,0.8547,0.6916354556803995,us,rural,0.59,0.48
1493275843895992323,118117,1187377,58,461,15.8966,0.1394,0.859649,0.028938471940500334,0.07013685856653035,0.0010559699195235425,0.9213921392139214,0.42000000000000004,0.9525593008739076,us,urban,0.54,0.42
