userids,tweets,tokens,nodes,edges,avg_degrees,densities,outliers,social_similarities,interactions,interactions_p,betweenness_mean,betweenness_range,closeness,country,type
2868619149,35065,519740,19,37,3.8947,0.1082,33.3333,0.0077,7.2947,0.5503,0.0114,0.2157,0.0138,uk,rural
1359262795347410946,50140,862291,49,384,15.6735,0.1633,6.25,0.0199,1.2351,0.0,0.0311,0.3401,0.0177,uk,urban
283467992,85355,1389102,57,153,5.3684,0.0479,30.3571,0.0038,3.578,0.1002,0.0086,0.3656,0.011,uk,urban
199199168,124482,1737356,128,451,7.0469,0.0277,24.4094,0.0038,3.0687,1.6487,0.0057,0.455,0.0137,uk,rural
361163415,57014,690379,86,560,13.0233,0.0766,11.7647,0.0113,1.4029,4.8648,0.0095,0.584,0.0084,uk,urban
2883132300,39947,793463,30,74,4.9333,0.0851,31.0345,0.0077,0.9611,1.4028,0.0216,0.1884,0.0151,uk,rural
1451890861613199371,75035,1056540,49,213,8.6939,0.0906,14.5833,0.0096,2.2869,21.1429,0.0423,0.5385,0.039,uk,urban
730160120,41715,733498,33,241,14.6061,0.2282,3.125,0.0422,3.548,58.1333,0.0314,0.3929,0.0123,uk,rural
1468728253619875847,52826,874504,59,250,8.4746,0.0731,25.8621,0.0167,1.1208,5.4048,0.0174,0.3579,0.0165,uk,rural
1501867772,153740,2052395,92,275,5.9783,0.0328,19.7802,0.0051,2.0641,6.1239,0.0022,0.1111,0.0052,uk,urban
818510617011257344,128902,2670745,87,207,4.7586,0.0277,41.8605,0.0026,3.1853,0.3321,0.0071,0.322,0.0121,uk,rural
25484270,113866,1369966,101,736,14.5743,0.0729,14.0,0.0176,2.7959,5.0493,0.0104,0.5903,0.0112,uk,rural
1481653320766812167,253825,3169808,217,4276,39.4101,0.0912,4.1667,0.0289,2.6687,923.2667,0.0054,0.3777,0.0189,uk,rural
1451603609771200521,122272,1640231,72,384,10.6667,0.0751,22.5352,0.0101,5.0415,0.0,0.0149,0.23,0.0247,uk,urban
1014440306253672449,159047,2608390,114,681,11.9474,0.0529,13.2743,0.0083,1.23,11.8125,0.0153,0.3231,0.0114,uk,urban
1199166093681733637,146795,1353992,98,834,17.0204,0.0877,12.3711,0.0143,2.5322,28.9,0.0063,0.5047,0.0016,uk,urban
314567054,30923,620833,16,43,5.375,0.1792,53.3333,0.011,3.0727,0.0,0.0095,0.1048,0.0085,uk,urban
48035920,100336,1638394,66,391,11.8485,0.0911,6.1538,0.0116,2.8758,2.9505,0.0238,0.5148,0.0203,uk,rural
1179693155190480896,67728,865212,41,166,8.0976,0.1012,12.5,0.0193,3.9211,43.1905,0.0073,0.2449,0.0088,uk,urban
1355269545452335114,77204,553853,68,144,4.2353,0.0316,49.2537,0.0032,2.6043,0.3925,0.0075,0.4855,0.0038,uk,rural
1433449124913983492,36884,563591,18,66,7.3333,0.2157,11.7647,0.0272,1.2781,21.7222,0.0535,0.3091,0.0007,uk,rural
1189099783,41456,550398,50,128,5.12,0.0522,65.3061,0.006,0.6654,11.3571,0.0132,0.465,0.0137,uk,urban
305750065,39195,585629,41,99,4.8293,0.0604,27.5,0.0076,1.9,2.1667,0.0097,0.3094,0.0129,uk,urban
1444904245199769600,30317,462584,25,155,12.4,0.2583,8.3333,0.0364,0.9268,6.037,0.0569,0.2835,0.0309,uk,rural
105910101,95319,1259801,50,167,6.68,0.0682,24.4898,0.0139,5.6427,10.1076,0.0043,0.0706,0.0028,uk,urban
2752040415,36461,474081,33,111,6.7273,0.1051,28.125,0.0071,5.1219,17.2111,0.0137,0.2825,0.0143,uk,urban
1317788561203187713,42614,613966,74,1113,30.0811,0.206,1.3699,0.0379,0.834,17.1111,0.0132,0.5115,0.0162,uk,rural
1260986039356751872,98596,1516359,65,167,5.1385,0.0401,35.9375,0.0045,3.137,3.6538,0.0034,0.1207,0.0079,uk,rural
893984648,35053,631836,19,59,6.2105,0.1725,27.7778,0.0197,2.6371,2.5775,0.0251,0.3617,0.019,uk,rural
1503737362681143297,124085,2136274,72,493,13.6944,0.0964,11.2676,0.012,2.1552,16.2274,0.0087,0.2307,0.0033,uk,rural
3308204575,61325,910431,67,256,7.6418,0.0579,27.2727,0.0124,0.8,29.0,0.0166,0.3154,0.0152,uk,rural
1068209921886433280,79517,1350383,73,537,14.7123,0.1022,11.1111,0.0169,2.1573,3.688,0.0145,0.5074,0.0194,uk,urban
386969518,124919,1862581,171,3842,44.9357,0.1322,6.4706,0.0307,1.3753,68.165,0.0071,0.5316,0.0365,uk,urban
1284542195865989122,2863,41786,3,4,2.6667,0.6667,0.0,0.0388,0.6667,1.2222,0.0,0.0,0.0,uk,urban
1704973849,72117,1086159,55,130,4.7273,0.0438,38.8889,0.0067,1.8105,0.4764,0.0094,0.4204,0.0098,uk,rural
1410274666145587200,84021,641222,130,875,13.4615,0.0522,10.0775,0.0089,0.8321,28.125,0.0137,0.4065,0.0266,uk,urban
445014258,60656,891537,79,447,11.3165,0.0725,15.3846,0.0134,2.1477,3.4159,0.0107,0.4987,0.0132,uk,urban
1383506000557211649,118719,2132607,105,1260,24.0,0.1154,9.6154,0.0165,1.7966,58.1638,0.012,0.4367,0.0285,uk,rural
1543671098365165571,47957,664677,28,72,5.1429,0.0952,25.9259,0.0187,1.8381,11.8667,0.0152,0.2125,0.012,uk,rural
166275155,117866,1624279,71,254,7.1549,0.0511,24.2857,0.0049,9.2346,5.1074,0.0076,0.2845,0.0207,uk,urban
1308731688659361794,95638,1682787,56,326,11.6429,0.1058,16.3636,0.0148,2.0288,36.1944,0.0179,0.3405,0.0056,uk,rural
740659307780411392,20436,404499,19,70,7.3684,0.2047,27.7778,0.0266,1.6857,18.6667,0.0275,0.4199,0.0131,uk,rural
4830263356,89793,1063613,59,305,10.339,0.0891,24.1379,0.0194,1.439,1.2391,0.0141,0.6536,0.0089,uk,urban
1468339197845340165,33415,279628,37,119,6.4324,0.0893,25.0,0.0111,0.925,6.2787,0.0276,0.5288,0.0258,uk,rural
1496088452487692288,10617,151386,9,15,3.3333,0.2083,75.0,0.0039,0.95,0.0,0.0655,0.5893,0.0075,uk,rural
