networkID,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SocSim,IS,RIS,ABC,RBC,ACC,country,type,nsi
538954874,104716,1912396,61,137,4.4918,0.0374,35.0,0.0049,1.7867,19.6154,0.0031,0.0862,0.0072,au,au,0.44
1082898041206726656,124513,1464508,65,175,5.3846,0.0421,21.875,0.0028,1.27,1.466,0.0041,0.2578,0.0032,au,au,0.44
1417767985,43791,760975,144,429,5.9583,0.0208,34.965,0.0107,0.9524,5.0606,0.0069,0.4322,0.0263,au,au,0.37
275852932,210690,3509768,147,760,10.3401,0.0354,16.4384,0.005,1.8916,16.9163,0.0052,0.2282,0.0222,au,au,0.42
1055187668,117942,2187193,99,203,4.101,0.0209,54.0816,0.0024,5.1788,112.9333,0.0025,0.2329,0.0023,au,au,0.42
1025396918,176878,3410589,165,1295,15.697,0.0479,20.122,0.023,1.7,10.3772,0.008,0.4954,0.0182,au,au,0.4
831469502655143937,125606,1562350,81,347,8.5679,0.0535,21.25,0.0058,5.4076,44.7903,0.0037,0.1919,0.0044,au,au,0.46
820416747601657858,151155,1385213,168,1097,13.0595,0.0391,15.5689,0.0084,2.6793,6.0735,0.003,0.3933,0.0034,au,au,0.44
3074552419,173350,2819358,172,1232,14.3256,0.0419,14.0351,0.0103,1.9562,10.7131,0.0075,0.3297,0.0303,au,au,0.4
1006158415041712128,243873,3739398,196,2735,27.9082,0.0716,6.1538,0.0252,2.6477,42.3892,0.008,0.4273,0.0164,au,au,0.43
1232045167,98407,1515869,113,213,3.7699,0.0168,46.4286,0.012,4.997,0.2398,0.001,0.1048,0.0023,au,au,0.44
1446795949,347864,2032046,210,1903,18.1238,0.0434,3.3493,0.0077,7.0957,6.5426,0.01,0.3345,0.017,au,au,0.45
297794775,225310,2759666,148,680,9.1892,0.0313,22.449,0.0068,2.9752,7.467,0.0075,0.6436,0.0337,au,au,0.35
424063879,164798,2960200,113,320,5.6637,0.0253,23.2143,0.0049,3.237,1.1648,0.0036,0.3171,0.0077,au,au,0.43
1424545776701644801,272192,1975521,192,2142,22.3125,0.0584,7.3298,0.0216,3.2266,55.2525,0.0177,0.3582,0.0263,au,au,0.42
1213462886321815555,92760,1512583,143,1019,14.2517,0.0502,7.0423,0.0369,1.2775,22.2564,0.0134,0.4292,0.0129,au,au,0.43
1346843444,69403,1519459,45,137,6.0889,0.0692,22.7273,0.0074,2.3746,7.3393,0.0033,0.0666,0.0048,au,au,0.47
286559955,167615,3154797,133,515,7.7444,0.0293,15.1515,0.0083,3.24,90.125,0.0107,0.4782,0.0348,au,au,0.38
894178607131643904,27808,418782,23,136,11.8261,0.2688,0.0,0.0458,1.1692,0.0,0.0281,0.2198,0.0007,au,au,0.51
1075424857,108221,1550553,168,1207,14.369,0.043,10.7784,0.0203,2.0133,2.3067,0.0071,0.5055,0.0227,au,au,0.4
3892523359,33289,501788,63,211,6.6984,0.054,32.2581,0.0231,1.3,0.1443,0.0132,0.7924,0.0021,au,au,0.37
587371132,521786,7020495,380,3079,16.2053,0.0214,5.8047,0.0052,1.6274,13.0045,0.0047,0.0768,0.0006,au,au,0.49
1570214407652904964,31604,287644,15,28,3.7333,0.1333,7.1429,0.011,0.0,0.0,0.0077,0.0659,0.0112,au,au,0.48
1453326871987253254,77655,935571,44,196,8.9091,0.1036,6.9767,0.0271,4.3669,1.1673,0.0179,0.6782,0.0022,au,au,0.42
285307419,192049,2442537,128,410,6.4062,0.0252,28.3465,0.0019,6.8643,6.0339,0.003,0.2322,0.0075,au,au,0.44
